Fold 0,0.6670440251572327,0.5033333333333333,0.5016666666666667
Fold 1,0.6689845474613687,0.5083333333333333,0.51
Fold 2,0.6752173913043479,0.53,0.5333333333333333
Fold 3,0.6601365187713311,0.47,0.465
Fold 4,0.6697797356828193,0.51,0.5133333333333333
Fold 5,0.6656410256410257,0.4866666666666667,0.495
Fold 6,0.6598173515981736,0.4583333333333333,0.46
Fold 7,0.6693678794560823,0.5083333333333333,0.5116666666666667
Fold 8,0.6670366259711432,0.5,0.5016666666666667
Fold 9,0.6686372007366482,0.5116666666666667,0.5083333333333333
